"Scenario","scen_name","Year","Stage","ktons","capacity","net"
"Momentum__reuse0","Reference",2049,"Pre-processing (ktons of battery)",11597.6708680446,918.387361849208,-10679.2835061953
"Momentum__reuse0","Reference",2049,"Refining (ktons of black mass)",3336.07679692475,384.659890081212,-2951.41690684353
"Momentum__reuse0","Reference",2050,"Pre-processing (ktons of battery)",11995.8699585452,918.387361849208,-11077.482596696
"Momentum__reuse0","Reference",2050,"Refining (ktons of black mass)",3449.50379067693,384.659890081212,-3064.84390059571
"Momentum__reuse0Large","Large LIB",2025,"Pre-processing (ktons of battery)",113.229750041338,322.423361849208,209.19361180787
"Momentum__reuse0Large","Large LIB",2025,"Refining (ktons of black mass)",32.7662384186397,0,-32.7662384186397
"Momentum__reuse0Large","Large LIB",2026,"Pre-processing (ktons of battery)",174.606120034573,495.528361849208,320.922241814635
"Momentum__reuse0Large","Large LIB",2026,"Refining (ktons of black mass)",51.0469117139739,6.59364669564592,-44.453265018328
"Momentum__reuse0Large","Large LIB",2027,"Pre-processing (ktons of battery)",355.784463477162,534.528361849207,178.743898372045
"Momentum__reuse0Large","Large LIB",2027,"Refining (ktons of black mass)",105.483426963667,96.7806103840414,-8.70281657962532
"Momentum__reuse0Large","Large LIB",2028,"Pre-processing (ktons of battery)",552.054936023685,786.528361849207,234.473425825523
"Momentum__reuse0Large","Large LIB",2028,"Refining (ktons of black mass)",166.760984814325,151.582672598708,-15.1783122156174
"Momentum__reuse0Large","Large LIB",2029,"Pre-processing (ktons of battery)",778.8925475642,837.528361849207,58.6358142850073
"Momentum__reuse0Large","Large LIB",2029,"Refining (ktons of black mass)",235.329738360818,162.295283655217,-73.0344547056004
"Momentum__reuse0Large","Large LIB",2030,"Pre-processing (ktons of battery)",907.866171077783,918.387361849208,10.5211907714248
"Momentum__reuse0Large","Large LIB",2030,"Refining (ktons of black mass)",273.611776549498,373.123232020356,99.5114554708579
"Momentum__reuse0Large","Large LIB",2031,"Pre-processing (ktons of battery)",1075.09575777138,918.387361849208,-156.70839592217
"Momentum__reuse0Large","Large LIB",2031,"Refining (ktons of black mass)",322.380605214867,373.123232020356,50.7426268054887
"Momentum__reuse0Large","Large LIB",2032,"Pre-processing (ktons of battery)",1276.09438234134,918.387361849208,-357.707020492131
"Momentum__reuse0Large","Large LIB",2032,"Refining (ktons of black mass)",380.926264667002,384.659890081212,3.73362541421056
"Momentum__reuse0Large","Large LIB",2033,"Pre-processing (ktons of battery)",1528.72992830742,918.387361849208,-610.342566458212
"Momentum__reuse0Large","Large LIB",2033,"Refining (ktons of black mass)",454.295825558699,384.659890081212,-69.6359354774866
"Momentum__reuse0Large","Large LIB",2034,"Pre-processing (ktons of battery)",1840.21235315187,918.387361849208,-921.824991302661
"Momentum__reuse0Large","Large LIB",2034,"Refining (ktons of black mass)",544.558545717498,384.659890081212,-159.898655636285
"Momentum__reuse0Large","Large LIB",2035,"Pre-processing (ktons of battery)",2220.04072851028,918.387361849208,-1301.65336666108
"Momentum__reuse0Large","Large LIB",2035,"Refining (ktons of black mass)",654.368442289339,384.659890081212,-269.708552208127
"Momentum__reuse0Large","Large LIB",2036,"Pre-processing (ktons of battery)",2675.27936163811,918.387361849208,-1756.8919997889
"Momentum__reuse0Large","Large LIB",2036,"Refining (ktons of black mass)",785.822376624693,384.659890081212,-401.16248654348
"Momentum__reuse0Large","Large LIB",2037,"Pre-processing (ktons of battery)",3213.19607238621,918.387361849208,-2294.808710537
"Momentum__reuse0Large","Large LIB",2037,"Refining (ktons of black mass)",940.585464105394,384.659890081212,-555.925574024182
"Momentum__reuse0Large","Large LIB",2038,"Pre-processing (ktons of battery)",3840.60143472437,918.387361849208,-2922.21407287516
